iter	Passed	Remaining
0	145	72609
1	151	37666
2	156	25960
3	162	20099
4	166	16522
5	170	14053
6	174	12312
7	178	10989
8	184	10042
9	187	9199
10	191	8493
11	196	7994
12	200	7498
13	203	7075
14	208	6741
15	213	6468
16	218	6194
17	222	5969
18	228	5785
19	232	5577
20	235	5374
21	239	5197
22	245	5093
23	249	4949
24	253	4810
25	257	4687
26	261	4574
27	265	4469
28	268	4354
29	271	4252
30	275	4162
31	278	4073
32	281	3984
33	284	3903
34	289	3842
35	292	3772
36	295	3701
37	299	3635
38	302	3575
39	306	3524
40	309	3469
41	314	3424
42	317	3375
43	322	3337
44	325	3289
45	328	3241
46	331	3198
47	336	3173
48	340	3137
49	344	3098
50	348	3068
51	352	3034
52	355	2999
53	358	2961
54	361	2922
55	365	2896
56	368	2864
57	371	2832
58	374	2797
59	377	2765
60	381	2744
61	384	2719
62	388	2696
63	391	2670
64	395	2649
65	398	2623
66	402	2599
67	406	2581
68	410	2562
69	414	2544
70	418	2525
71	421	2503
72	424	2480
73	428	2465
74	431	2445
75	434	2423
76	437	2402
77	440	2385
78	444	2370
79	448	2355
80	451	2335
81	454	2318
82	459	2310
83	463	2297
84	467	2281
85	470	2265
86	475	2258
87	479	2246
88	483	2231
89	487	2219
90	491	2209
91	495	2197
92	499	2186
93	502	2171
94	506	2159
95	509	2144
96	513	2131
97	517	2124
98	522	2117
99	526	2104
100	529	2093
101	533	2081
102	537	2073
103	541	2062
104	545	2050
105	548	2037
106	552	2028
107	555	2017
108	559	2006
109	562	1994
110	566	1984
111	570	1976
112	574	1967
113	578	1957
114	582	1949
115	586	1940
116	589	1930
117	593	1921
118	597	1912
119	601	1903
120	604	1893
121	608	1884
122	611	1873
123	615	1867
124	619	1858
125	623	1850
126	626	1841
127	632	1837
128	636	1830
129	640	1823
130	645	1816
131	648	1809
132	653	1801
133	657	1796
134	662	1790
135	665	1782
136	671	1778
137	675	1770
138	679	1764
139	683	1757
140	687	1750
141	693	1749
142	698	1744
143	702	1736
144	706	1729
145	711	1725
146	715	1718
147	719	1711
148	724	1707
149	729	1701
150	732	1692
151	736	1685
152	741	1681
153	745	1674
154	750	1669
155	755	1664
156	761	1663
157	765	1657
158	770	1651
159	774	1645
160	777	1638
161	781	1630
162	786	1625
163	790	1620
164	795	1614
165	800	1610
166	805	1606
167	809	1599
168	812	1591
169	817	1585
170	822	1582
171	827	1577
172	831	1571
173	836	1566
174	840	1561
175	845	1556
176	850	1552
177	855	1547
178	859	1540
179	863	1535
180	867	1529
181	871	1523
182	874	1515
183	879	1510
184	883	1503
185	886	1497
186	889	1489
187	893	1483
188	897	1476
189	901	1470
190	904	1463
191	909	1458
192	913	1452
193	916	1446
194	920	1439
195	924	1434
196	928	1428
197	932	1422
198	936	1416
199	940	1410
200	944	1404
201	947	1398
202	951	1391
203	954	1385
204	958	1379
205	963	1374
206	966	1368
207	970	1362
208	975	1358
209	980	1353
210	983	1347
211	989	1344
212	994	1340
213	998	1333
214	1002	1328
215	1007	1324
216	1010	1318
217	1014	1312
218	1020	1309
219	1026	1305
220	1031	1301
221	1037	1299
222	1042	1295
223	1047	1290
224	1052	1286
225	1056	1281
226	1060	1275
227	1064	1269
228	1068	1264
229	1072	1258
230	1075	1252
231	1079	1246
232	1084	1242
233	1088	1237
234	1091	1231
235	1095	1225
236	1099	1220
237	1103	1214
238	1107	1209
239	1111	1203
240	1115	1199
241	1119	1193
242	1123	1187
243	1127	1182
244	1131	1177
245	1135	1172
246	1139	1167
247	1144	1163
248	1148	1158
249	1152	1152
250	1157	1148
251	1162	1143
252	1165	1137
253	1169	1132
254	1173	1127
255	1177	1122
256	1181	1117
257	1185	1111
258	1189	1106
259	1194	1102
260	1198	1097
261	1202	1091
262	1207	1087
263	1211	1082
264	1215	1078
265	1219	1072
266	1224	1068
267	1228	1063
268	1231	1057
269	1235	1052
270	1241	1049
271	1245	1043
272	1249	1039
273	1254	1034
274	1260	1030
275	1264	1026
276	1271	1023
277	1275	1018
278	1279	1013
279	1285	1009
280	1290	1005
281	1296	1001
282	1302	999
283	1308	995
284	1315	992
285	1322	989
286	1328	986
287	1335	983
288	1341	979
289	1347	976
290	1355	973
291	1360	969
292	1367	966
293	1373	962
294	1379	958
295	1383	953
296	1388	949
297	1396	946
298	1400	941
299	1405	937
300	1411	933
301	1416	928
302	1420	923
303	1426	919
304	1430	914
305	1434	909
306	1438	904
307	1443	899
308	1447	894
309	1451	889
310	1457	885
311	1460	880
312	1464	875
313	1469	870
314	1473	865
315	1478	860
316	1482	855
317	1486	850
318	1490	845
319	1493	840
320	1497	835
321	1502	830
322	1506	825
323	1510	820
324	1514	815
325	1519	810
326	1523	805
327	1527	800
328	1530	795
329	1535	790
330	1539	786
331	1543	781
332	1547	776
333	1552	771
334	1556	766
335	1561	761
336	1566	757
337	1570	752
338	1574	747
339	1579	743
340	1584	738
341	1589	734
342	1593	729
343	1599	725
344	1603	720
345	1606	715
346	1610	710
347	1614	705
348	1618	700
349	1622	695
350	1626	690
351	1630	685
352	1634	680
353	1637	675
354	1641	670
355	1646	665
356	1650	661
357	1653	656
358	1658	651
359	1663	646
360	1667	642
361	1671	637
362	1676	632
363	1680	627
364	1685	623
365	1690	618
366	1694	614
367	1698	609
368	1702	604
369	1707	599
370	1711	595
371	1714	590
372	1718	585
373	1722	580
374	1727	575
375	1731	570
376	1734	566
377	1739	561
378	1744	556
379	1748	552
380	1752	547
381	1756	542
382	1760	537
383	1763	532
384	1767	527
385	1771	523
386	1774	518
387	1778	513
388	1782	508
389	1787	504
390	1792	499
391	1796	494
392	1801	490
393	1807	486
394	1811	481
395	1817	477
396	1821	472
397	1826	468
398	1831	463
399	1836	459
400	1840	454
401	1843	449
402	1849	445
403	1853	440
404	1858	435
405	1863	431
406	1867	426
407	1871	422
408	1875	417
409	1880	412
410	1885	408
411	1889	403
412	1894	399
413	1898	394
414	1903	389
415	1908	385
416	1912	380
417	1915	375
418	1919	370
419	1923	366
420	1927	361
421	1931	356
422	1935	352
423	1939	347
424	1945	343
425	1949	338
426	1953	333
427	1958	329
428	1961	324
429	1965	319
430	1969	315
431	1973	310
432	1976	305
433	1979	301
434	1983	296
435	1987	291
436	1991	287
437	1996	282
438	2000	278
439	2005	273
440	2009	268
441	2014	264
442	2019	259
443	2023	255
444	2027	250
445	2030	245
446	2035	241
447	2038	236
448	2042	232
449	2046	227
450	2051	222
451	2055	218
452	2059	213
453	2062	209
454	2067	204
455	2071	199
456	2075	195
457	2078	190
458	2083	186
459	2087	181
460	2091	176
461	2094	172
462	2098	167
463	2102	163
464	2106	158
465	2110	153
466	2115	149
467	2119	144
468	2122	140
469	2127	135
470	2131	131
471	2135	126
472	2138	122
473	2142	117
474	2146	112
475	2150	108
476	2153	103
477	2158	99
478	2162	94
479	2166	90
480	2169	85
481	2174	81
482	2178	76
483	2181	72
484	2185	67
485	2189	63
486	2193	58
487	2197	54
488	2201	49
489	2206	45
490	2211	40
491	2215	36
492	2218	31
493	2223	27
494	2227	22
495	2231	17
496	2234	13
497	2239	8
498	2242	4
499	2246	0
